cis;x_norm;y_norm;offset_x;offset_y
ALTECKENDORF;0.5168;0.4031;0;0
ALTORF;;;0;0
ANDLAU;;;0;0
ARTOLSHEIM;;;0;0
ASCHBACH;;;0;0
BALBRONN;;;0;0
BALDENHEIM;0.5106;0.8452;0;0
BARR;0.4351;0.7152;0;0
BEINHEIM;;;0;0
BENFELD;;;0;0
BERGBIETEN;0.4234;0.5795;0;0
BERNARDSWILLER;;;0;0
BETSCHDORF;0.7433;0.3089;0;0
BILWISHEIM;;;0;0
BINDERNHEIM;;;0;0
BISCHHEIM;0.6354;0.5411;0;0
BISCHHEIM SCHILTIGHE;;;0;0
BISCHHOLTZ;;;0;0
BISCHOFFSHEIM;;;0;0
BISCHWILLER;0.7073;0.4134;0;0
BOERSCH;;;0;0
BOESENBIESEN;;;0;0
BOOFZHEIM;;;0;0
BOOTZHEIM;;;0;0
BOUXWILLER;;;0;0
BREUCHWICKERSHEIM;;;0;0
BRUMATH;0.6078;0.4458;0;0
CIE EMS NORD;;;0;0
CIE EMS SUD;;;0;0
CIE HAGUENAU;0.6522;0.3755;0;0
CIE MOLSHEIM;0.4693;0.6152;0;0
CIE SAVERNE;0.3515;0.4523;0;0
CIE SELESTAT;0.4542;0.8415;0;0
CLIMBACH;;;0;0
COLROY LA ROCHE;;;0;0
DAMBACH;;;0;0
DAMBACH LA VILLE;0.4170;0.7821;0;0
DAUENDORF;;;0;0
DEHLINGEN;;;0;0
DETTWILLER;;;0;0
DIEBOLSHEIM;;;0;0
DIEMERINGEN;;;0;0
DIRECTION;;;0;0
DOSSENHEIM S/ZINSEL;;;0;0
DRACHENBRONN BIRLENB;;;0;0
DRULINGEN;0.2038;0.3511;0;0
DRUSENHEIM;0.7816;0.4182;0;0
DURRENBACH;0.6354;0.3111;0;0
DURSTEL;;;0;0
DUTTLENHEIM;;;0;0
EBERSHEIM;0.4744;0.7963;0;0
EBERSMUNSTER;0.5010;0.8008;0;0
ECKBOLSHEIM;;;0;0
EPFIG;;;0;0
EPFIG BERNARDVILLE;;;0;0
ERGERSHEIM;0.4862;0.5762;0;0
ERNOLSHEIM S.BRUCHE;;;0;0
ERSTEIN;;;0;0
FEGERSHEIM;0.6132;0.6423;0;0
FOUCHY;;;0;0
FRIEDOLSHEIM;;;0;0
FROHMUHL;;;0;0
GAMBSHEIM;0.7456;0.4707;0;0
GEISPOLSHEIM;0.5719;0.6233;0;0
GERSTHEIM;;;0;0
GERTWILLER;;;0;0
GEUDERTHEIM;;;0;0
GOERSDORF;;;0;0
GOUGENHEIM;;;0;0
GOXWILLER;;;0;0
GRENDELBRUCH;;;0;0
GRIES;0.6828;0.4285;0;0
GRIESHEIM PRES MOLSH;;;0;0
GRIESHEIM SUR SOUFFE;0.6293;0.6239;0;0
