ut;x_norm;y_norm;offset_x;offset_y
NAN;;;0;0
UT BARR;0.4451;0.7152;0;0
UT BENFELD;;;0;0
UT BERNSTEIN;;;0;0
UT BISCHWILLER;0.7073;0.4134;0;0
UT BOOFZHEIM;;;0;0
UT BOUXWILLER;;;0;0
UT BRUMATH;0.6178;0.4458;0;0
UT DIEMERINGEN;;;0;0
UT DRULINGEN;0.2138;0.3511;0;0
UT ERSTEIN;;;0;0
UT FEGERSHEIM;;;0;0
UT GAMBSHEIM;;;0;0
UT HAGUENAU;0.6622;0.3755;0;0
UT HOCHFELDEN;;;0;0
UT HOENHEIM;0.6630;0.5275;0;0
UT HOENHEIM SOUFFEL;0.6105;0.5325;0;0
UT INGWILLER;0.4266;0.3439;0;0
UT LAUTERBOURG;;;0;0
UT LEMBACH;;;0;0
UT LINGOLSHEIM;;;0;0
UT LUPSTEIN;;;0;0
UT MARCKOLSHEIM;;;0;0
UT MARMOUTIER;;;0;0
UT MOLSHEIM;;;0;0
UT NIEDERBRONN LES B;;;0;0
UT NORD;;;0;0
UT OBERNAI;;;0;0
UT PETERSBACH;;;0;0
UT SAALES;;;0;0
UT SARRE UNION;;;0;0
UT SAVERNE;;;0;0
UT SCHIRMECK;;;0;0
UT SELESTAT;;;0;0
UT SELTZ;;;0;0
UT SOUFFLENHEIM;;;0;0
UT SOULTZ SOUS FORET;;;0;0
UT STRASBOURG NORD;0.6617;0.5438;0;0
UT STRASBOURG SUD;0.6469;0.6049;0;0
UT SUD;;;0;0
UT SUNDHOUSE;;;0;0
UT TRUCHTERSHEIM;;;0;0
UT URMATT;;;0;0
UT VAL DE MODER;;;0;0
UT VENDENHEIM;;;0;0
UT VILLE;;;0;0
UT WASSELONNE;;;0;0
UT WINGEN SUR MODER;;;0;0
UT WISSEMBOURG;;;0;0
UT WOERTH;;;0;0
